id;texto;rotulo;fonte
446;A ONU disse que o pleito apresentado por Lula à entidade era legítimo, em razão da fragilidade da acusação contra ele - Fernando Haddad (PT);FALSO;AGÊNCIA LUPA
447;Cinco bancos, inclusive dois públicos, concentram mais de 80% do crédito - Fernando Haddad (PT);VERDADE;AGÊNCIA LUPA
448;Tasso Jereissati falou: ‘nós cometemos três erros: questionamos o resultado eleitoral. Aprovamos uma pauta em que nós não acreditávamos para prejudicar o PT. Embarcamos no governo Temer;VERDADE;AGÊNCIA LUPA
449;Jovem se esfaqueia para provar que facada de Bolsonaro foi falsa e acaba morrendo;FALSO;AGÊNCIA LUPA
450;Na época das eleições de 2016, o PT estava sozinho, na berlinda, enquanto todas as delações relativas ao PSDB, PP, PMDB estavam represadas - Fernando Haddad (PT);FALSO;AGÊNCIA LUPA
451;No dia do anúncio do resultado das eleições presidenciais de 2014 já havia contestação do resultado - Fernando Haddad (PT);FALSO;AGÊNCIA LUPA
452;Ao estourar a âncora cambial, FHC Provocou um rombo nas contas externas monumental - Fernando Haddad (PT);VERDADE;AGÊNCIA LUPA
453;O suspeito de esfaquear de Bolsonaro seria José Adélio Bispo de Oliveira, filiado ao PDT mineiro;FALSO;AGÊNCIA LUPA
454;Foto mostra o candidato que sofreu uma tentativa de homicídio entrando a pé no hospital;FALSO;AGÊNCIA LUPA
455;Adélio Bispo de Oliveira é o nome de quem tentou matar Jair Bolsonaro em Juiz de Fora. Ele é filiado ao Partido dos Trabalhadores;FALSO;AGÊNCIA LUPA
456;O criminoso que tentou matar Bolsonaro assessora a campanha de Dilma ao senado em Minas;FALSO;AGÊNCIA LUPA
457;Nós do Exército Brasileiro perdemos três jovens garotos para o crime agora - Jair Bolsonaro (PSL);VERDADE;AGÊNCIA LUPA
458;Não se consegue produzir um prego no Brasil e colocar de forma competitiva no Paraguai - Jair Bolsonaro (PSL);FALSO;AGÊNCIA LUPA
459;Nas últimas eleições para prefeito, o Datafolha último errou em 60 e tantos porcento - Jair Bolsonaro (PSL);FALSO;AGÊNCIA LUPA
460;O senhor Henrique Meirelles foi presidente do Banco Central por oito anos, depois foi para a JBS/Friboi - Jair Bolsonaro (PSL);VERDADE;AGÊNCIA LUPA
